id,uuid,DCP_date_current_period,OPCP_open_price_current_period,HPCP_high_price_current_period,LPCP_low_price_current_period,CPCP_close_price_current_period,ACPCP_adjusted_close_price_current_period,VTCP_volume_of_transactions_current_period
174,,2000-09-08,"1,502.51","1,502.51","1,489.88","1,494.50","1,494.50","961,000,000"
175,,2000-09-11,"1,494.50","1,506.76","1,483.01","1,489.26","1,489.26","899,300,000"
176,,2000-09-12,"1,489.26","1,496.93","1,479.67","1,481.99","1,481.99","991,200,000"
177,,2000-09-13,"1,481.99","1,487.45","1,473.61","1,484.91","1,484.91","1,068,300,000"
178,,2000-09-14,"1,484.91","1,494.16","1,476.73","1,480.87","1,480.87","1,014,000,000"
179,,2000-09-15,"1,480.87","1,480.96","1,460.22","1,465.81","1,465.81","1,268,400,000"
180,,2000-09-18,"1,465.81","1,467.77","1,441.92","1,444.51","1,444.51","962,500,000"
181,,2000-09-19,"1,444.51","1,461.16","1,444.51","1,459.90","1,459.90","1,024,900,000"
182,,2000-09-20,"1,459.90","1,460.49","1,430.95","1,451.34","1,451.34","1,104,000,000"
183,,2000-09-21,"1,451.34","1,452.77","1,436.30","1,449.05","1,449.05","1,105,400,000"
184,,2000-09-22,"1,449.05","1,449.05","1,421.88","1,448.72","1,448.72","1,185,500,000"
185,,2000-09-25,"1,448.72","1,457.42","1,435.93","1,439.03","1,439.03","982,400,000"
186,,2000-09-26,"1,439.03","1,448.04","1,425.25","1,427.21","1,427.21","1,106,600,000"
187,,2000-09-27,"1,427.21","1,437.22","1,419.44","1,426.57","1,426.57","1,174,700,000"
188,,2000-09-28,"1,426.57","1,461.69","1,425.78","1,458.29","1,458.29","1,206,200,000"
189,,2000-09-29,"1,458.29","1,458.29","1,436.29","1,436.51","1,436.51","1,197,100,000"
190,,2000-10-02,"1,436.52","1,445.60","1,429.83","1,436.23","1,436.23","1,051,200,000"
191,,2000-10-03,"1,436.23","1,454.82","1,425.28","1,426.46","1,426.46","1,098,100,000"
192,,2000-10-04,"1,426.46","1,439.99","1,416.31","1,434.32","1,434.32","1,167,400,000"
193,,2000-10-05,"1,434.32","1,444.17","1,431.80","1,436.28","1,436.28","1,176,100,000"
194,,2000-10-06,"1,436.28","1,443.30","1,397.06","1,408.99","1,408.99","1,150,100,000"
195,,2000-10-09,"1,408.99","1,409.69","1,392.48","1,402.03","1,402.03","716,600,000"
196,,2000-10-10,"1,402.03","1,408.83","1,383.85","1,387.02","1,387.02","1,044,000,000"
197,,2000-10-11,"1,387.02","1,387.02","1,349.67","1,364.59","1,364.59","1,387,500,000"
198,,2000-10-12,"1,364.59","1,374.93","1,328.06","1,329.78","1,329.78","1,388,600,000"
199,,2000-10-13,"1,329.78","1,374.17","1,327.08","1,374.17","1,374.17","1,223,900,000"
200,,2000-10-16,"1,374.17","1,379.48","1,365.06","1,374.62","1,374.62","1,005,400,000"
201,,2000-10-17,"1,374.62","1,380.99","1,342.34","1,349.97","1,349.97","1,161,500,000"
202,,2000-10-18,"1,349.97","1,356.65","1,305.79","1,342.13","1,342.13","1,441,700,000"
203,,2000-10-19,"1,342.13","1,389.93","1,342.13","1,388.76","1,388.76","1,297,900,000"
204,,2000-10-20,"1,388.76","1,408.47","1,382.19","1,396.93","1,396.93","1,177,400,000"
205,,2000-10-23,"1,396.93","1,406.96","1,387.75","1,395.78","1,395.78","1,046,800,000"
206,,2000-10-24,"1,395.78","1,415.64","1,388.13","1,398.13","1,398.13","1,158,600,000"
207,,2000-10-25,"1,398.13","1,398.13","1,362.21","1,364.90","1,364.90","1,315,600,000"
208,,2000-10-26,"1,364.90","1,372.72","1,337.81","1,364.44","1,364.44","1,303,800,000"
209,,2000-10-27,"1,364.44","1,384.57","1,364.13","1,379.58","1,379.58","1,086,300,000"
210,,2000-10-30,"1,379.58","1,406.36","1,376.86","1,398.66","1,398.66","1,186,500,000"
211,,2000-10-31,"1,398.66","1,432.22","1,398.66","1,429.40","1,429.40","1,366,400,000"
212,,2000-11-01,"1,429.40","1,429.60","1,410.45","1,421.22","1,421.22","1,206,800,000"
213,,2000-11-02,"1,421.22","1,433.40","1,421.22","1,428.32","1,428.32","1,167,700,000"
214,,2000-11-03,"1,428.32","1,433.21","1,420.92","1,426.69","1,426.69","997,700,000"
215,,2000-11-06,"1,428.76","1,438.46","1,427.72","1,432.19","1,432.19","930,900,000"
216,,2000-11-07,"1,432.19","1,436.22","1,423.26","1,431.87","1,431.87","880,900,000"
217,,2000-11-08,"1,431.87","1,437.28","1,408.78","1,409.28","1,409.28","909,300,000"
218,,2000-11-09,"1,409.28","1,409.28","1,369.68","1,400.14","1,400.14","1,111,000,000"
219,,2000-11-10,"1,400.14","1,400.14","1,365.97","1,365.98","1,365.98","962,500,000"
220,,2000-11-13,"1,365.98","1,365.98","1,328.62","1,351.26","1,351.26","1,129,300,000"
221,,2000-11-14,"1,351.26","1,390.06","1,351.26","1,382.95","1,382.95","1,118,800,000"
222,,2000-11-15,"1,382.95","1,395.96","1,374.75","1,389.81","1,389.81","1,066,800,000"
223,,2000-11-16,"1,389.81","1,394.76","1,370.39","1,372.32","1,372.32","956,300,000"
224,,2000-11-17,"1,372.32","1,384.85","1,355.55","1,367.72","1,367.72","1,070,400,000"
225,,2000-11-20,"1,367.72","1,367.72","1,341.67","1,342.62","1,342.62","955,800,000"
226,,2000-11-21,"1,342.62","1,355.87","1,333.62","1,347.35","1,347.35","1,137,100,000"
227,,2000-11-22,"1,347.35","1,347.35","1,321.89","1,322.36","1,322.36","963,200,000"
228,,2000-11-24,"1,322.36","1,343.83","1,322.36","1,341.77","1,341.77","404,870,000"
229,,2000-11-27,"1,341.77","1,362.50","1,341.77","1,348.97","1,348.97","946,100,000"
230,,2000-11-28,"1,348.97","1,358.81","1,334.97","1,336.09","1,336.09","1,028,200,000"
231,,2000-11-29,"1,336.09","1,352.38","1,329.28","1,341.93","1,341.93","402,100,000"
232,,2000-11-30,"1,341.91","1,341.91","1,294.90","1,314.95","1,314.95","1,186,530,000"
233,,2000-12-01,"1,314.95","1,334.67","1,307.02","1,315.23","1,315.23","1,195,200,000"
234,,2000-12-04,"1,315.18","1,332.06","1,310.23","1,324.97","1,324.97","1,103,000,000"
235,,2000-12-05,"1,324.97","1,376.56","1,324.97","1,376.54","1,376.54","900,300,000"
236,,2000-12-06,"1,376.54","1,376.54","1,346.15","1,351.46","1,351.46","1,399,300,000"
237,,2000-12-07,"1,351.46","1,353.50","1,339.26","1,343.55","1,343.55","1,128,000,000"
238,,2000-12-08,"1,343.55","1,380.33","1,343.55","1,369.89","1,369.89","1,358,300,000"
239,,2000-12-11,"1,369.89","1,389.05","1,364.14","1,380.20","1,380.20","1,202,400,000"
240,,2000-12-12,"1,380.20","1,380.27","1,370.27","1,371.18","1,371.18","1,083,400,000"
241,,2000-12-13,"1,371.18","1,385.82","1,358.48","1,359.99","1,359.99","1,195,100,000"
242,,2000-12-14,"1,359.99","1,359.99","1,340.48","1,340.93","1,340.93","1,061,300,000"
243,,2000-12-15,"1,340.93","1,340.93","1,305.38","1,312.15","1,312.15","1,561,100,000"
244,,2000-12-18,"1,312.15","1,332.32","1,312.15","1,322.74","1,322.74","1,189,900,000"
245,,2000-12-19,"1,322.96","1,346.44","1,305.20","1,305.60","1,305.60","1,324,900,000"
246,,2000-12-20,"1,305.60","1,305.60","1,261.16","1,264.74","1,264.74","1,421,600,000"
247,,2000-12-21,"1,264.74","1,285.31","1,254.07","1,274.86","1,274.86","1,449,900,000"
248,,2000-12-22,"1,274.86","1,305.97","1,274.86","1,305.95","1,305.95","1,087,100,000"
249,,2000-12-26,"1,305.97","1,315.94","1,301.64","1,315.19","1,315.19","806,500,000"
250,,2000-12-27,"1,315.19","1,332.03","1,310.96","1,328.92","1,328.92","1,092,700,000"
251,,2000-12-28,"1,328.92","1,335.93","1,325.78","1,334.22","1,334.22","1,015,300,000"
252,,2000-12-29,"1,334.22","1,340.10","1,317.51","1,320.28","1,320.28","1,035,500,000"
253,,2001-01-02,"1,320.28","1,320.28","1,276.05","1,283.27","1,283.27","1,129,400,000"
254,,2001-01-03,"1,283.27","1,347.76","1,274.62","1,347.56","1,347.56","1,880,700,000"
255,,2001-01-04,"1,347.56","1,350.24","1,329.14","1,333.34","1,333.34","2,131,000,000"
256,,2001-01-05,"1,333.34","1,334.77","1,294.95","1,298.35","1,298.35","1,430,800,000"
257,,2001-01-08,"1,298.35","1,298.35","1,276.29","1,295.86","1,295.86","1,115,500,000"
258,,2001-01-09,"1,295.86","1,311.72","1,295.14","1,300.80","1,300.80","1,191,300,000"
259,,2001-01-10,"1,300.80","1,313.76","1,287.28","1,313.27","1,313.27","1,296,500,000"
260,,2001-01-11,"1,313.27","1,332.19","1,309.72","1,326.82","1,326.82","1,411,200,000"
261,,2001-01-12,"1,326.82","1,333.21","1,311.59","1,318.55","1,318.55","1,276,000,000"
262,,2001-01-16,"1,318.32","1,327.81","1,313.33","1,326.65","1,326.65","1,205,700,000"
263,,2001-01-17,"1,326.65","1,346.92","1,325.41","1,329.47","1,329.47","1,349,100,000"
264,,2001-01-18,"1,329.89","1,352.71","1,327.41","1,347.97","1,347.97","1,445,000,000"
265,,2001-01-19,"1,347.97","1,354.55","1,336.74","1,342.54","1,342.54","1,407,800,000"
266,,2001-01-22,"1,342.54","1,353.62","1,333.84","1,342.90","1,342.90","1,164,000,000"
267,,2001-01-23,"1,342.90","1,362.90","1,339.63","1,360.40","1,360.40","1,232,600,000"
268,,2001-01-24,"1,360.40","1,369.75","1,357.28","1,364.30","1,364.30","1,309,000,000"
269,,2001-01-25,"1,364.30","1,367.35","1,354.63","1,357.51","1,357.51","1,258,000,000"
270,,2001-01-26,"1,357.51","1,357.51","1,342.75","1,354.95","1,354.95","1,098,000,000"
271,,2001-01-29,"1,354.92","1,365.54","1,350.36","1,364.17","1,364.17","1,053,100,000"
272,,2001-01-30,"1,364.17","1,375.68","1,356.20","1,373.73","1,373.73","1,149,800,000"
273,,2001-01-31,"1,373.73","1,383.37","1,364.66","1,366.01","1,366.01","1,295,300,000"
274,,2001-02-01,"1,366.01","1,373.50","1,359.34","1,373.47","1,373.47","1,118,800,000"
275,,2001-02-02,"1,373.47","1,376.38","1,348.72","1,349.47","1,349.47","1,048,400,000"
276,,2001-02-05,"1,349.47","1,354.56","1,344.48","1,354.31","1,354.31","1,013,000,000"
277,,2001-02-06,"1,354.31","1,363.55","1,350.04","1,352.26","1,352.26","1,059,600,000"
